,tweet_text,date,hashtags,link
31,Best way to make sure package Pirates dont jack you're shit : #AmazonLocker ,2019-11-13 13:05:21+00:00,#AmazonLocker,https://twitter.com/SeanDro_/status/1194602148627197953
32,tweet tweet. just picked up an order from the local #amazonlocker. so cool.,2019-11-09 03:59:37+00:00,#amazonlocker,https://twitter.com/kandrich/status/1193015258803265536
33,Grazie #amazon #amazonlocker per la puntualità nella consegna. Ringrazio il #corriere che ha provveduto a consegnare il pacco contenente un gioco che si basa su un corriere al quale giocherà uno che ha a che fare coi corrieri tutti i giorni. #DeathStranding mi porto a casa il,2019-11-08 19:10:11+00:00,#amazon #amazonlocker #corriere #DeathStranding,https://twitter.com/CjHellectric/status/1192882020998897664
34,"Tranquilli tranquilli. Entro oggi (8 nov) alle 23.59 al ""mio"" #amazonlocker di fiducia. Nel mentre già arrivata email con codice per materiale Bonus.",2019-11-07 23:15:33+00:00,#amazonlocker,https://twitter.com/CjHellectric/status/1192581381894729728
35,"Camped out waiting for that #amazon truck that’s like 8 stops away, since I forgot to select the #AmazonLocker for drop off and sadly ppl be stealing anything with amazon, target or EBay on the package. – at The Boulevard",2019-11-07 19:44:55+00:00,#amazon #AmazonLocker,https://twitter.com/boredinde/status/1192528374721323015
36,"#amazonuk #amazondelivery #amazonflex good people of Great Britain, stop ordering shit if you ain't gonna be in or be bothered to leave comprehensive alternatives. Why not try an #amazonlocker instead???",2019-11-07 12:56:16+00:00,#amazonuk #amazondelivery #amazonflex #amazonlocker,https://twitter.com/mummymac70/status/1192425535718273025
37,"If you want to know how Python Dictionaries work, just think of an Amazon Locker. #coding #tech #python #python3 #programming #programmer #codingtips #dev #developer #codinglife #code #learntocode #yellow #amazon #amazonlocker #bryson",2019-11-06 01:21:19+00:00,#coding #tech #python #python3 #programming #programmer #codingtips #dev #developer #codinglife #code #learntocode #yellow #amazon #amazonlocker #bryson,https://twitter.com/mind_of_bryson/status/1191888259401449472
38,Don't forget we have an amazon locker in store - never miss your orders again. #amazonlocker #amazon #amazondelivery,2019-11-05 08:46:01+00:00,#amazonlocker #amazon #amazondelivery,https://twitter.com/shltd36/status/1191637781052841984
39,Had to reorder the item I never got and this time decided to use the #AmazonLocker to make sure it didn't go missing. I have to wait until Tuesday for then to process a refund.,2019-11-04 23:47:08+00:00,#AmazonLocker,https://twitter.com/Sirius720/status/1191502168152514566
40,A me arriverà da #amazonlocker ma fino a questa sera o domani sera nun se prova. ,2019-10-31 05:49:16+00:00,#amazonlocker,https://twitter.com/CjHellectric/status/1189781362611494912
41,"@AmazonUK love that I have an #amazonlocker next to my house now, but when my parcel is delivered to the top shelf and I can’t reach it, it proves an issue!!!! #shortgirlproblems",2019-10-28 17:14:46+00:00,#amazonlocker #shortgirlproblems,https://twitter.com/natalielumb10/status/1188866708888576002
42,Away from home on the reg? Collect and return your parcels with no hassle See more information about Amazon Locker here: http://bit.ly/2WXaAut #AmazonLocker #Liverpool,2019-10-27 11:40:02+00:00,#AmazonLocker #Liverpool,https://twitter.com/StJohnsShopping/status/1188420082919264256
43,Vai all #amazonlocker con la tua biciclettina... tanto son solo due giochi... e niente lo scatolone conteneva #CallofDutyModernWarfare stg price ed. Esclusiva #Amazon. Di #MediEvil ho paura già la copertina non è stampata bene... aiaiai #playstation #CallOfDuty,2019-10-25 11:33:42+00:00,#amazonlocker #CallofDutyModernWarfare #Amazon #MediEvil #playstation #CallOfDuty,https://twitter.com/CjHellectric/status/1187693713507659776
44,"E ciao! domani mi arriva la Sgt Price edition da #amazon. Tutti all #amazonlocker che quando digiti il codice e si apre lo scomparto, provi 'na sensazione única! ah, pure #MediEvil arriva. Yes!",2019-10-24 04:39:08+00:00,#amazon #amazonlocker #MediEvil,https://twitter.com/CjHellectric/status/1187226998499876866
45, ¿Has probado ya #AmazonLocker? Se llama Rita y es fiel a tus pedidos. Encuéntralo en el parking subterráneo de Imaginalia . Agrega a tu libreta de dirección http://www.amazon.es/lockerrita. ¡Súper práctico! ,2019-10-22 13:20:14+00:00,#AmazonLocker,https://twitter.com/ImaginaliaCC/status/1186633362888372225
46,Don’t say “sorry”. Just train your overseas customer service personnel (and maybe pay them better). I just spent 10 mins explaining to @Amazon customer service that #AmazonLocker is not “a store” where I can waltz in &amp; show ID 2 pickup package.,2019-10-20 19:32:36+00:00,#AmazonLocker,https://twitter.com/RashaElass/status/1186002296322347013
47,#amazonlocker#shirleyamazon#packyourshitandget @Ghirardelli Square https://www.instagram.com/p/B32SHoHhkbc/?igshid=4x7fdppqad0x,2019-10-20 17:20:17+00:00,,https://twitter.com/fohfolies/status/1185968995381346305
48,I #AmazonLocker,2019-10-20 06:13:45+00:00,#AmazonLocker,https://twitter.com/catherine__oh/status/1185801256025186306
49,Don't forget we have an amazon locker in store - never miss your orders again. #amazonlocker #amazon #amazondelivery,2019-10-17 17:59:01+00:00,#amazonlocker #amazon #amazondelivery,https://twitter.com/shltd36/status/1184891581016530946
50,When your #office building gets #amazonlocker installed. That’s what I call great #CustomerExperience and #proactivecare. #Amazon thanks for looking after your customers.,2019-10-17 09:59:48+00:00,#office #amazonlocker #CustomerExperience #proactivecare #Amazon,https://twitter.com/MarcinDziduch/status/1184770978955628544
51,Hola!!! Os presentamos a Lila... nuestro nuevo #AmazonLocker en #Camaretas Ya sabes... Si no vas a estar en casa ¡No te preocupes! Recoge tus pedidos en Planta 2 (junto al ascensor); Camaretas Centro Comercial #AmazonLocker #Camaretas #ElCentroComercialDeSoria,2019-10-16 13:10:05+00:00,#AmazonLocker #Camaretas #AmazonLocker #Camaretas #ElCentroComercialDeSoria,https://twitter.com/Camaretas/status/1184456480113729538
52,"Need a stress-free way to collect your parcels? Check out our #AmazonLocker, where you can collect your parcel at a time that's convenient for you. See more here: http://bit.ly/2GvCmYa",2019-10-14 10:18:01+00:00,#AmazonLocker,https://twitter.com/StJohnsShopping/status/1183688403386273793
53,Recoge cómodamente tus compras de @amazon en nuestro #AmazonLocker #pinto #pintomadrid #amazon #comprasonline,2019-10-13 15:15:04+00:00,#AmazonLocker #pinto #pintomadrid #amazon #comprasonline,https://twitter.com/plazaeboli/status/1183400767182520323
54,#Amazonlocker was the best invention ever!,2019-10-12 14:22:43+00:00,#Amazonlocker,https://twitter.com/taurus5173/status/1183025207952453634
55,#Amazonlocker 発見！！ #経堂駅 #コウノトリ,2019-10-10 08:18:23+00:00,#Amazonlocker,https://twitter.com/pipeeno7/status/1182208742017777664
56,"Hai già provato il nuovo #AmazonLocker di Reggio Emilia? Si chiama Adelmaro e ti aspetta nella filiale @credem Via Che Guevara dal lunedì al sabato, dalle 7 alle 22",2019-10-10 07:28:43+00:00,#AmazonLocker,https://twitter.com/credem/status/1182196244497752065
57,This is going to be a GAME CHANGER at Christmas! #perksofthejob #amazonlocker #beatthequeues,2019-10-09 19:02:37+00:00,#perksofthejob #amazonlocker #beatthequeues,https://twitter.com/SShNHS/status/1182008480342913024
58,¡Tenemos #AmazonLocker en #SevillaFactoryDosHermanas! Podrás recoger tus pedidos de @amazon mientras pasas un día estupendo de compras en nuestro centro comercial. http://bit.ly/2RbkF2V #Amazon #Sevilla #DosHermanas,2019-10-04 11:55:07+00:00,#AmazonLocker #SevillaFactoryDosHermanas #Amazon #Sevilla #DosHermanas,https://twitter.com/SevillaFactory/status/1180088958681800704
59,"⁦@Twitter⁩ ⁦@7eleven⁩ #AmazonLocker installed at the 7-Eleven on Washington St., #Quincypoint I feel this has its #pluses and it’s #minuses let’s see how it goes",2019-10-03 20:57:29+00:00,#AmazonLocker #Quincypoint #pluses #minuses,https://twitter.com/ShaunDemarco1/status/1179863063694061569
60,"Need a stress-free way to collect your parcels? Check out our #AmazonLocker, where you can collect your parcel at a time that's convenient for you. See more here: http://bit.ly/2WXaAut",2019-10-03 10:28:02+00:00,#AmazonLocker,https://twitter.com/StJohnsShopping/status/1179704656991268864
61,"NUEVO VÍDEO EN EL CANAL, ASÍ funciona #AMAZONLOCKER https://youtu.be/di62WRMcCtE",2019-09-30 18:43:05+00:00,#AMAZONLOCKER,https://twitter.com/rubio_tech/status/1178742077280178176
62,Don't forget we have an amazon locker in store - never miss your orders again. #amazonlocker #amazon #amazondelivery,2019-09-30 13:43:02+00:00,#amazonlocker #amazon #amazondelivery,https://twitter.com/shltd36/status/1178666566436769792
63,Did you know you can order from amazon and collect from our locker 'BIDANI' at a time that suits you. Located on Level 1 near the car park. #amazon #amazonlocker ##shopping #amazonlockers #ilford @Ilford Exchange… https://www.instagram.com/p/B24gHdyF8nA/?igshid=w40uqvysl2fg,2019-09-26 17:29:43+00:00,#amazon #amazonlocker #shopping #amazonlockers #ilford,https://twitter.com/ExchangeIlford/status/1177274059828150273
64,Franchement #amazonlocker il etait temps que ça se développe enfin ici. Commander un truc en toute confidentialité sans avoir à se dépêcher d'être à la maison pour attraper un colis c'est un super soulagement ,2019-09-24 13:45:04+00:00,#amazonlocker,https://twitter.com/SkullNDoll/status/1176492752122634245
65,#24settembre #Amazon #amazonlocker #primeday,2019-09-24 12:33:14+00:00,#24settembre #Amazon #amazonlocker #primeday,https://twitter.com/DeliveraApp/status/1176474672097087489
66,"En #LogisticalTimes, la revista online de #UNOLogistica, recopilamos las mejores soluciones del mercado https://bit.ly/2kChhnl @pudo_es @MayordomoLocker @ActumSL #Deliberty @KuvutES #UPdelivery @Send2melastmile #AmazonLocker (@amazon) @citiboxES",2019-09-23 09:50:05+00:00,#LogisticalTimes #UNOLogistica #Deliberty #UPdelivery #AmazonLocker,https://twitter.com/UNOlogistica/status/1176071225849909258
67,Nel video di questa settimana su YouTube ho provato per voi un servizio fantastico! Link in biografia o su YouTube cercate fulviobodda! #amazonlockers #amazonlocker #armadiettiamazon #armadiettismart #amazonitalia… https://www.instagram.com/p/B2qod5TCoV2/?igshid=igu4090ujsrz,2019-09-21 08:13:21+00:00,#amazonlockers #amazonlocker #armadiettiamazon #armadiettismart #amazonitalia,https://twitter.com/wolla81/status/1175322106600574976
68,"@amazon had trouble delivering my package to... Wait for it... An #AmazonLocker. Wait, what?",2019-09-20 00:28:39+00:00,#AmazonLocker,https://twitter.com/BlainPlanes/status/1174842775847804928
69,"Seems that I missed something, somewhere. #amazonlocker #germany @OMV Tankstelle https://www.instagram.com/p/B2j7kg2IlF9nXIyg_64fG5N6nESTtRDy1Fq7c00/?igshid=g1ggm0yo0b6z",2019-09-18 17:45:36+00:00,#amazonlocker #germany,https://twitter.com/kingofNewFries/status/1174378953798082560
